Issue Key,Summary,Priority,Due Date,Time Estimate,Story Points
TASK-1,Fix login bug,Highest,2023-10-15,3600,3
TASK-2,Update documentation,Medium,,7200,1
TASK-3,Implement new feature,High,2023-10-20,10800,5
TASK-4,Refactor code,Low,2023-11-01,1800,2
TASK-5,Add unit tests,Medium,2023-11-05,3600,4
TASK-6,Optimize performance,Low,2023-11-10,14400,1
TASK-7,Fix security issue,High,2023-11-15,7200,3
TASK-8,Update README,Medium,2023-11-20,10800,2
TASK-9,Add feature documentation,Low,2023-11-25,1800,1
TASK-10,Refactor code,Medium,2023-12-01,3600,3